shape,nodeCount,evidenceBytes,n,mean,p50,p95,p99,cpuMs,rssDeltaBytes
wide,16,256,100,3.91,3.865,5.358,5.581,195.653,3678208
wide,16,4096,100,4.107,3.923,6.138,6.645,202.248,389120
wide,16,16384,100,4.92,4.885,6.752,7.188,381.576,15335424
wide,32,256,100,6.942,6.626,9.352,9.801,331.777,724992
wide,32,4096,100,7.384,7.132,9.994,10.552,367.025,135168
wide,32,16384,100,9.552,9.465,12.326,12.966,610.324,4014080
wide,64,256,100,13.367,13.344,16.622,16.94,551.165,11419648
wide,64,4096,100,14.32,13.779,18.72,19.641,625.36,3104768
wide,64,16384,100,18.353,16.697,22.097,76.283,900.069,12324864
balanced,16,256,100,6.716,6.722,7.952,8.46,229.95,131072
balanced,16,4096,100,6.691,6.679,8.436,8.746,219.195,24576
balanced,16,16384,100,7.427,7.3,9.793,10.646,297.896,-12832768
balanced,32,256,100,12.038,12.032,14.276,15.656,433.279,90112
balanced,32,4096,100,11.928,11.79,14.618,15.796,429.575,8192
balanced,32,16384,100,12.874,13.081,15.847,16.353,564.913,0
balanced,64,256,100,20.065,20.475,24.007,24.89,741.935,10813440
balanced,64,4096,100,20.294,20.52,24.396,25.194,726.846,10846208
balanced,64,16384,100,22.125,22.03,26.859,28.022,975.532,2797568
deep,16,256,100,21.492,21.57,23.964,24.664,444.779,57344
deep,16,4096,100,20.832,20.859,23.337,24.241,407.366,233472
deep,16,16384,100,20.219,20.108,22.834,23.242,356.243,8192
deep,32,256,100,41.819,42.042,45.818,47.548,700.313,36864
deep,32,4096,100,43.253,43.479,47.411,49.7,847.942,12288
deep,32,16384,100,43.489,43.651,48.323,51.307,837.584,8192
deep,64,256,100,88.164,89.429,94.616,96.047,1715.073,12288
deep,64,4096,100,86.787,87.08,93.835,96.929,1563.561,32768
deep,64,16384,100,86.596,86.827,92.266,94.49,1550.369,0
