run,queryIndex,queryId,scenario,terminalState,outcome,totalMs,executionMs,anchorAndPersistenceMs,anchorQueueWaitMs,anchorServiceMs,retryCount,remoteRequestAttempts,receiptBytes,receiptRoot,anchorTxHash,anchorBlockHeight,auditVerified,expectedBehavior,error
0,0,livereg-2026-09-01T01-38-58-803Z-0-normal-0,normal,ANCHORED,SATISFIED,500.92,55,445.92,0.007,438.148,0,6,15905,0xa873eb5304dc9476912911100d3064ac19509f007c70234fb112cc1bd86c14fc,0x5eb09bf8e8a1e18a401fef4d8155a6fbb6ef23f287ad1d58e42191d46216bf0b,1016,true,true,
0,1,livereg-2026-09-01T01-38-58-803Z-0-normal-1,normal,ANCHORED,SATISFIED,499.741,47,452.741,0.004,445.191,0,6,16014,0xdc3b4a68a24d0c26e3f8a42435121cf732337496ba75a05e29b3b78d6e8f032a,0x96b2c4525c8b22086bfbc7a808eddebf2381b63cd1e3c584106282c2285a8020,1017,true,true,
0,2,livereg-2026-09-01T01-38-58-803Z-0-normal-2,normal,ANCHORED,SATISFIED,502.59,63,439.59,0.009,432.209,0,6,15905,0x368a70280cf77df35ab65279815d2ee06cf095816221af1446a195d0ae7a2700,0x1d9f618cb5996e9971f5f41506339ad0921f91dcbb43ed4e7ec5ddab46cf00a2,1018,true,true,
0,3,livereg-2026-09-01T01-38-58-803Z-0-normal-3,normal,ANCHORED,SATISFIED,505.713,42,463.713,0.004,456.78,0,6,16013,0xfc027b282b2f4e5b78f2562a27bdec1420d50c28a67ac3cab60a083ce9558faa,0xe14bd8f93098c7c7fe8757e18bf65ce113996b862c3a2e1e2f4c69dcd69a22b2,1019,true,true,
0,4,livereg-2026-09-01T01-38-58-803Z-0-normal-4,normal,ANCHORED,SATISFIED,515.121,44,471.121,0.005,460.668,0,6,15905,0x70974f3b5bcc32323ee5d7f8e540d3f3d846d5f2d97886699ff3bc0424e342e2,0x209f2714cadef5da0aec06f70814e1f7f214fc4920027b704fcd663060766f7e,1020,true,true,
0,5,livereg-2026-09-01T01-38-58-803Z-0-normal-5,normal,ANCHORED,SATISFIED,529.224,56,473.224,0.006,461.61,0,6,16013,0x75ecd613ea652e0191cd8752560278ffa3994450f3276e76ca5e67dcf3826ef4,0x8ba49ae2a44d0414e336faa992d03fb101111b8cf7f0c8da1a7b7ebecd4da8a2,1021,true,true,
0,6,livereg-2026-09-01T01-38-58-803Z-0-normal-6,normal,ANCHORED,SATISFIED,550.236,64,486.236,0.01,470.797,0,6,16014,0x6e4decfb04e65bd92f96dc708849569dd2cff70f91ebf36b09df46dfa48b6cc2,0x72a2cfc533ee77dd89cbdb3454657421b28c9d0566f9e4ec529c8606541c968a,1022,true,true,
0,7,livereg-2026-09-01T01-38-58-803Z-0-normal-7,normal,ANCHORED,SATISFIED,558.093,234,324.093,0.036,301.422,0,6,16014,0x07f39bd07af396e55fb7a3b0e67f1e45f2d6381667c0bad1362900d8193b3394,0x65b6d8dd8a91c503a658912a23b4ba529828a57972cafbf1e4d06a43e80764fe,1023,true,true,
0,8,livereg-2026-09-01T01-38-58-803Z-0-normal-8,normal,ANCHORED,SATISFIED,462.246,73,389.246,0.007,378.43,0,6,16013,0x81207198a9cb07f06161ddc9d211e7cd58f1777a2ac8b0dccabaf4eb1aeaed4d,0x7da55c990ade8755093df54696f0a63c811c8e21bb62856eb148049f5ae91877,1024,true,true,
0,9,livereg-2026-09-01T01-38-58-803Z-0-normal-9,normal,ANCHORED,SATISFIED,498.445,58,440.445,0.004,432.088,0,6,15905,0xca43b250535407106686f2fc5c56a75b0544cd547f547d65d8f987d688f75015,0xce84da8d50233e5507ac12b8062320f987c4945eec3598096b46e2ccb783d802,1025,true,true,
