scenario,repetition,queryId,totalMs,terminalState,outcome,scenarioVerified,auditVerified,probeVerified,resyncMs,anchorBlockHeight,error
fabric_network_partition,0,resilience-2026-09-01T07-55-45-402Z-fabric_network_partition-0,2961.97,ANCHORED,SATISFIED,true,true,true,,1173,
fabric_network_partition,1,resilience-2026-09-01T07-55-45-402Z-fabric_network_partition-1,2865.733,ANCHORED,SATISFIED,true,true,true,,1175,
fabric_network_partition,2,resilience-2026-09-01T07-55-45-402Z-fabric_network_partition-2,2841.77,ANCHORED,SATISFIED,true,true,true,,1177,
fabric_network_partition,3,resilience-2026-09-01T07-55-45-402Z-fabric_network_partition-3,2866.281,ANCHORED,SATISFIED,true,true,true,,1179,
fabric_network_partition,4,resilience-2026-09-01T07-55-45-402Z-fabric_network_partition-4,2729.377,ANCHORED,SATISFIED,true,true,true,,1181,
fisco_node_resync,0,resilience-2026-09-01T07-55-45-402Z-fisco_node_resync-0,6253.658,ANCHORED,SATISFIED,true,true,true,12.441,1183,
fisco_node_resync,1,resilience-2026-09-01T07-55-45-402Z-fisco_node_resync-1,2960.248,ANCHORED,SATISFIED,true,true,true,262.911,1185,
fisco_node_resync,2,resilience-2026-09-01T07-55-45-402Z-fisco_node_resync-2,2943.199,ANCHORED,SATISFIED,true,true,true,269.727,1187,
fisco_node_resync,3,resilience-2026-09-01T07-55-45-402Z-fisco_node_resync-3,3268.02,ANCHORED,SATISFIED,true,true,true,263.82,1189,
fisco_node_resync,4,resilience-2026-09-01T07-55-45-402Z-fisco_node_resync-4,2800.431,ANCHORED,SATISFIED,true,true,true,263.798,1191,
fisco_correlated_pause,0,resilience-2026-09-01T07-55-45-402Z-fisco_correlated_pause-0,5408.633,FAILED,,true,true,true,8.41,1193,
fisco_correlated_pause,1,resilience-2026-09-01T07-55-45-402Z-fisco_correlated_pause-1,6066.698,FAILED,,true,true,true,24.325,1195,
fisco_correlated_pause,2,resilience-2026-09-01T07-55-45-402Z-fisco_correlated_pause-2,6387.75,FAILED,,true,true,true,11.071,1197,
fisco_correlated_pause,3,resilience-2026-09-01T07-55-45-402Z-fisco_correlated_pause-3,5881.405,FAILED,,true,true,true,10.507,1199,
fisco_correlated_pause,4,resilience-2026-09-01T07-55-45-402Z-fisco_correlated_pause-4,6797.858,FAILED,,true,true,true,25.324,1201,
audit_store_outage,0,resilience-2026-09-01T07-55-45-402Z-audit_store_outage-0,499.701,ANCHORED,SATISFIED,true,true,,,1203,
audit_store_outage,1,resilience-2026-09-01T07-55-45-402Z-audit_store_outage-1,503.462,ANCHORED,SATISFIED,true,true,,,1204,
audit_store_outage,2,resilience-2026-09-01T07-55-45-402Z-audit_store_outage-2,554.768,ANCHORED,SATISFIED,true,true,,,1205,
audit_store_outage,3,resilience-2026-09-01T07-55-45-402Z-audit_store_outage-3,492.475,ANCHORED,SATISFIED,true,true,,,1206,
audit_store_outage,4,resilience-2026-09-01T07-55-45-402Z-audit_store_outage-4,499.585,ANCHORED,SATISFIED,true,true,,,1207,
