fault,recoveryEnabled,recoverable,expectedTerminal,policyAction,correctTerminal,recovered,meanExtraRequests,processingMs,terminals
"single_endpoint_down","false","true","SATISFIED","alternate_endpoint","{""successes"":0,""total"":100,""rate"":0,""ci95Lower"":0,""ci95Upper"":0.037}","{""successes"":0,""total"":100,""rate"":0,""ci95Lower"":0,""ci95Upper"":0.037}","0","{""n"":100,""mean"":0.0356,""ci95Lower"":0.0135,""ci95Upper"":0.0576,""p50"":0.013,""p95"":0.1134,""p99"":0.5144}","{""FAILED"":100}"
"single_endpoint_down","true","true","SATISFIED","alternate_endpoint","{""successes"":100,""total"":100,""rate"":1,""ci95Lower"":0.963,""ci95Upper"":1}","{""successes"":100,""total"":100,""rate"":1,""ci95Lower"":0.963,""ci95Upper"":1}","1","{""n"":100,""mean"":0.0128,""ci95Lower"":0.0113,""ci95Upper"":0.0143,""p50"":0.0109,""p95"":0.017,""p99"":0.0418}","{""SATISFIED"":100}"
"double_endpoint_down","false","false","INSUFFICIENT","bounded_exhaustion","{""successes"":100,""total"":100,""rate"":1,""ci95Lower"":0.963,""ci95Upper"":1}","{""successes"":0,""total"":100,""rate"":0,""ci95Lower"":0,""ci95Upper"":0.037}","0","{""n"":100,""mean"":0.0158,""ci95Lower"":0.0128,""ci95Upper"":0.0187,""p50"":0.0109,""p95"":0.0383,""p99"":0.1036}","{""INSUFFICIENT"":100}"
"double_endpoint_down","true","false","INSUFFICIENT","bounded_exhaustion","{""successes"":100,""total"":100,""rate"":1,""ci95Lower"":0.963,""ci95Upper"":1}","{""successes"":0,""total"":100,""rate"":0,""ci95Lower"":0,""ci95Upper"":0.037}","0","{""n"":100,""mean"":0.0111,""ci95Lower"":0.0088,""ci95Upper"":0.0135,""p50"":0.0092,""p95"":0.0125,""p99"":0.0668}","{""INSUFFICIENT"":100}"
"index_lag","false","true","SATISFIED","fresh_endpoint","{""successes"":0,""total"":100,""rate"":0,""ci95Lower"":0,""ci95Upper"":0.037}","{""successes"":0,""total"":100,""rate"":0,""ci95Lower"":0,""ci95Upper"":0.037}","0","{""n"":100,""mean"":0.0087,""ci95Lower"":0.0084,""ci95Upper"":0.009,""p50"":0.0086,""p95"":0.0102,""p99"":0.0159}","{""FAILED"":100}"
"index_lag","true","true","SATISFIED","fresh_endpoint","{""successes"":100,""total"":100,""rate"":1,""ci95Lower"":0.963,""ci95Upper"":1}","{""successes"":100,""total"":100,""rate"":1,""ci95Lower"":0.963,""ci95Upper"":1}","1","{""n"":100,""mean"":0.0178,""ci95Lower"":0.0005,""ci95Upper"":0.0351,""p50"":0.0079,""p95"":0.0135,""p99"":0.0553}","{""SATISFIED"":100}"
"expired_evidence","false","true","SATISFIED","refresh_evidence","{""successes"":0,""total"":100,""rate"":0,""ci95Lower"":0,""ci95Upper"":0.037}","{""successes"":0,""total"":100,""rate"":0,""ci95Lower"":0,""ci95Upper"":0.037}","0","{""n"":100,""mean"":0.0096,""ci95Lower"":0.0075,""ci95Upper"":0.0118,""p50"":0.0072,""p95"":0.0129,""p99"":0.0461}","{""FAILED"":100}"
"expired_evidence","true","true","SATISFIED","refresh_evidence","{""successes"":100,""total"":100,""rate"":1,""ci95Lower"":0.963,""ci95Upper"":1}","{""successes"":100,""total"":100,""rate"":1,""ci95Lower"":0.963,""ci95Upper"":1}","1","{""n"":100,""mean"":0.0259,""ci95Lower"":0.0144,""ci95Upper"":0.0374,""p50"":0.015,""p95"":0.0467,""p99"":0.3592}","{""SATISFIED"":100}"
"missing_field","false","false","INSUFFICIENT","conservative_terminal","{""successes"":100,""total"":100,""rate"":1,""ci95Lower"":0.963,""ci95Upper"":1}","{""successes"":0,""total"":100,""rate"":0,""ci95Lower"":0,""ci95Upper"":0.037}","0","{""n"":100,""mean"":0.0061,""ci95Lower"":0.0059,""ci95Upper"":0.0063,""p50"":0.0059,""p95"":0.0071,""p99"":0.0101}","{""INSUFFICIENT"":100}"
"missing_field","true","false","INSUFFICIENT","conservative_terminal","{""successes"":100,""total"":100,""rate"":1,""ci95Lower"":0.963,""ci95Upper"":1}","{""successes"":0,""total"":100,""rate"":0,""ci95Lower"":0,""ci95Upper"":0.037}","0","{""n"":100,""mean"":0.012,""ci95Lower"":0.008,""ci95Upper"":0.016,""p50"":0.006,""p95"":0.0452,""p99"":0.0813}","{""INSUFFICIENT"":100}"
